id,original,emendation,old_type1,old_type2,primary_category,secondary_category,changed_original_tokens,changed_emended_tokens,,needs_manual_review,notes
11,ὡς γὰρ περὶ οἰχομένων αὐτῷ πραγμάτων καὶ παντάπασιν ἀπολουμένων οὕτω διάκειται καὶ βούλεται ἢ ἄλλον τινὰ δικαστὴν γενέσθαι τοῦ ζητουμένου ἢ ἑαυτόν.,ὡς γὰρ περὶ οἰχομένων αὐτῷ πραγμάτων καὶ παντάπασιν ἀπολουμένων οὕτω διάκειται καὶ βούλεται ἄλλον τινὰ δικαστὴν γενέσθαι τοῦ ζητουμένου ἢ ἑαυτόν.,delete,,Addition / Omission,,ἢ,,,no,
12,Ἐπεὶ οὖν ὡς ἀκούεις ἄλλο τι οἴεται τὸ γεγενημένον καὶ οὐχ ὡς φύσεως ἢ πράξεως ἔχει μηδὲν ἀναβαλλόμενος ἢ τὴν βασιλίδα κατάλαβε ἢ φθάσας τὴν προθεσμίαν ἢ εὐθὺς μετ' ἐκείνην καὶ διερμήνευσον καὶ τὴν ἀρχὴν τοῦ ζητήματος καὶ τὴν περίστασιν τῆς ὑποθέσεως ἵνα ἴσως καὶ τὴν νικῶσαν λάβοις καὶ τὴν ὀφειλο- μένην ἀποδοίης τῷ πατριάρχῃ τιμήν καὶ ἡμᾶς θεάσαιο οὓς ἐκ πολλοῦ ἰδεῖν ἐπιτεθύμηκας,Ἐπεὶ οὖν ὡς ἀκούεις ἄλλο τι οἴεται τὸ γεγενημένον καὶ οὐχ ὡς φύσεως ἢ πράξεως ἔχει μηδὲν ἀναβαλλόμενος τὴν βασιλίδα κατάλαβε ἢ φθάσας τὴν προθεσμίαν ἢ εὐθὺς μετ' ἐκείνην καὶ διερμήνευσον καὶ τὴν ἀρχὴν τοῦ ζητήματος καὶ τὴν περίστασιν τῆς ὑποθέσεως ἵνα ἴσως καὶ τὴν νικῶσαν λάβοις καὶ τὴν ὀφειλο- μένην ἀποδοίης τῷ πατριάρχῃ τιμήν καὶ ἡμᾶς θεάσαιο οὓς ἐκ πολλοῦ ἰδεῖν ἐπιτεθύμηκας,delete,,Addition / Omission,,ἢ,,,no,
13,Τέως δὲ ἐν μετεώρῳ πάντες ἑστήκαμεν ἐπ' ἀμφότερον τὰς γνώμας διῃρημένοι καὶ πρὸς τὴν αὐτόθεν περιχαίροντες ἀγγελίαν.,Τέως δὲ ἐν μετεώρῳ πάντες ἑστήκαμεν ἐπ' ἀμφότερον τὰς γνώμας διῃρημένοι καὶ πρὸς τὴν αὐτόθεν περιχαίνοντες ἀγγελίαν.,change,,Phonological-Orthographic,,περιχαίροντες,περιχαίνοντες,,no,
14,Σοὶ δ' ἄρα τίς δαίμων ἐβάσκηνε καὶ νοήματά τινα δυσελπιστίας μεστὰ τῇ ψυχῇ σου παρέφθειρε καὶ ὑπείληφας ὅτι σοι ὁ ἀδελφὸς ἵν' οὕτως εἴποιμι καὶ πατήρ ἠλάττωσέ σοι τὴν πρώτην εὐμένειαν καὶ μέχρι τῶν παρασήμων τῆς εὐτυχίας προαγαγών τῆς πρὸς σὲ εὐνοίας ἐπαύσατο,Σοὶ δ' ἄρα τίς δαίμων ἐβάσκηνε καὶ νοήματά τινα δυσελπιστίας μεστὰ τῇ ψυχῇ σου παρέσπειρε καὶ ὑπείληφας ὅτι σοι ὁ ἀδελφὸς ἵν' οὕτως εἴποιμι καὶ πατήρ ἠλάττωσέ σοι τὴν πρώτην εὐμένειαν καὶ μέχρι τῶν παρασήμων τῆς εὐτυχίας προαγαγών τῆς πρὸς σὲ εὐνοίας ἐπαύσατο,change,,Phonological-Orthographic,,παρέφθειρε,παρέσπειρε,,no,
15,Φίλος μοι ἐστὶν ὁ ἐπίσκοπος καὶ φίλος γνησιώτατος οὐκ οἶδα δὲ εἰ μὴ καὶ δοῦλος σός μᾶλλον δὲ οἶδα τοῦτο καὶ πέπεισμαι ἀφ' οὗ δὲ πολλάκις ὑπὲρ αὐτοῦ πρὸς τὸν κράτιστον ἐπαρρησιάσω ἡμῶν αὐτοκράτορα.,Φίλος μοι ἐστὶν ὁ ἐπίσκοπος καὶ φίλος γνησιώτατος οὐκ οἶδα δὲ εἰ μὴ καὶ δοῦλος σός μᾶλλον δὲ οἶδα τοῦτο καὶ πέπεισμαι ἀφ' οὗ δὴ πολλάκις ὑπὲρ αὐτοῦ πρὸς τὸν κράτιστον ἐπαρρησιάσω ἡμῶν αὐτοκράτορα.,change,,Morphological,,δὲ,δὴ,,no,
16,Ἀλλ' ἐπειδή σοι ὁ τῆς ἀποδημίας ἔρως ἀπέσβη καί σοι ἐπανῆλθον οἱ καθήκοντες λογισμοί αὐτὸ δή σοι τὸ ἐμὸν ἔθραξεν ὅτι παρεώρακας ὅτι κατωλιγώρηκας εἴπω τἀληθές ὅτι καταπεφρόνηκας.,Ἀλλ' ἐπειδή σοι ὁ τῆς ἀποδημίας ἔρως ἀπέσβη καί σοι ἐπανῆλθον οἱ καθήκοντες λογισμοί αὐτὸ δή σε τὸ ἐμὸν ἔθραξεν ὅτι παρεώρακας ὅτι κατωλιγώρηκας εἴπω τἀληθές ὅτι καταπεφρόνηκας.,change,,Morphological,,σοι,σε,,no,
17,Καὶ ὃ τὴν χθές που τοῖς καλλίστοις υἱοῖς σου συσσιτούμενος ὡς ἐπίστασαι οὐκ ἀποκρύψομαι ἀλλὰ λαμπρῶς διηγήσομαι,Καὶ ὃ τὴν χθὲς πέπυσμαι τοῖς καλλίστοις υἱοῖς σου συσσιτούμενος ὡς ἐπίστασαι οὐκ ἀποκρύψομαι ἀλλὰ λαμπρῶς διηγήσομαι,change,accent,Diacritic / Punctuation,Morphological,χθές | που,χθὲς | πέπυσμαι,,nο,
18,Ἀλλ' εἰ καὶ τοὺς ἄλλους ἵππους πεφόβημαι ἐπί γε τοῦ σοῦ θαρρούντως ὀχήσομαι. Οὕτω σου θαρρῶ οὐ τὴν ψυχὴν μόνον ἀλλ' εἴ τινας ἔχοις καὶ λέοντας.,Ἀλλ' εἰ καὶ τοὺς ἄλλους ἵππους πεφόβημαι ἐπί γε τοῦ σοῦ θαρρούντως ὀχήσομαι. Οὕτω σου θαρρῶ οὐ τὸν ἵππον μόνον ἀλλ' εἴ τινας ἔχοις καὶ λέοντας.,change,,Lexical / Contextual,,τὴν | ψυχὴν,τὸν | ἵππον,,yes,
19,Μετρεῖ δὲ ἑαυτὴν τῷ ἐσθίοντι ὥσπερ γὰρ τὸ ῥόδον κολάζει τὸν ἄτακτον θεριστὴν τῇ ἀκάνθῃ καὶ εἰ μή τις ἠρέμα δρέψαιτο αἰσθήσεται πάντως τοῦ πλήξοντος οὕτω δὴ καὶ αὐτὴ εἰ μή τις ἐπιστημόνως διαμασήσαιτο καὶ ὅσον εἰκὸς μεταλάβοι ἐγχρίψει τι τοῖς ὀδοῦσιν ἀνιαρόν καὶ αἱμωδιάσουσιν οἱ γομφίοι ὥσπερ δίκας ἀποτιννύντες τῆς ἀπλήστου τροφῆς.,Μετρεῖ δὲ ἑαυτὴν τῷ ἐσθίοντι ὥσπερ γὰρ τὸ ῥόδον κολάζει τὸν ἄτακτον θεριστὴν τῇ ἀκάνθῃ καὶ εἰ μή τις ἠρέμα δρέψαιτο αἰσθήσεται πάντως τοῦ πλήξαντος οὕτω δὴ καὶ αὐτὴ εἰ μή τις ἐπιστημόνως διαμασήσαιτο καὶ ὅσον εἰκὸς μεταλάβοι ἐγχρίψει τι τοῖς ὀδοῦσιν ἀνιαρόν καὶ αἱμωδιάσουσιν οἱ γομφίοι ὥσπερ δίκας ἀποτιννύντες τῆς ἀπλήστου τροφῆς.,change,,Morphological,,πλήξοντος,πλήξαντος,,no,
20,Καὶ οὐκ ἄν τις παρὰ τὸ εἰκὸς ἢ τὴν ἐπιστολὴν τῇ σταφυλῇ ἀπεικάσειεν ἢ τὴν σταφυλὴν τῇ ἐπιστολῇ ὅ τε γὰρ λόγος ἡδύ τι ἄλλο εἴπερ τι χρῆμα ψυχῇ καὶ τῇ σταφυλῇ ποία τῶν ὀπωρῶν εἰς ἡδύτητα ἀντερίσειεν,Καὶ οὐκ ἄν τις παρὰ τὸ εἰκὸς ἢ τὴν ἐπιστολὴν τῇ σταφυλῇ ἀπεικάσειεν ἢ τὴν σταφυλὴν τῇ ἐπιστολῇ ὅ τε γὰρ λόγος ἡδύ τι χρῆμα εἴπερ τι ἄλλο ψυχῇ καὶ τῇ σταφυλῇ ποία τῶν ὀπωρῶν εἰς ἡδύτητα ἀντερίσειεν,word order,,Word Order / Transposition,,ἄλλο | χρῆμα,χρῆμα | ἄλλο,,no,
21,ὁποῖος σὺ τὴν νίκην κατέσχες -- ἐκ τῆς ἀφετηρίας πρὸς τὴν νύσσαν εὐθυδρομῶν τάχα ποτὲ πεποιθότως ------------ ἐπιβήσομαι.,ὁποῖος σὺ γενναῖος ἡνίοχος -- ἐκ τῆς ἀφετηρίας πρὸς τὴν νύσσαν εὐθυδρομῶν τάχα ποτὲ πεποιθότως ------------ ἐπιβήσομαι.,change,delete,Lexical / Contextual,Addition / Omission,τὴν | νίκην | κατέσχες,γενναῖος | ἡνίοχος,,no,
22,Εἶτα οὐ φείδεσθέ μου τῶν πολιῶν ἀλλ' ὑλοτομεῖν -- καὶ ἀναχωννύειν ἃ μὴ δεδύνημαι,Εἶτα οὐ φείδεσθέ μου τῶν πολιῶν ἀλλ' ὑλοτομεῖν ἐγκελεύεσθε καὶ ἀναχωννύειν ἃ μὴ δεδύνημαι,add,,Addition / Omission,,--,ἐγκελεύεσθε,,no,
23,Ἀπ' ἐμῆς οὖν ἀπ' ἐμῆς ψυχῆς καὶ ἀλλακτέον ἡμῖν τὴν χορδήν καὶ τὸ μέλος ἀπὸ τῆς νήτης ἐπὶ τὴν σεμνοτάτην μετακι- νητέον ὑπάτην,Ἀπ' ἐμᾶς οὖν ἀπ' ἐμᾶς ψυχᾶς καὶ ἀλλακτέον ἡμῖν τὴν χορδήν καὶ τὸ μέλος ἀπὸ τῆς νήτης ἐπὶ τὴν σεμνοτάτην μετακι- νητέον ὑπάτην,change,,Morphological,,ἐμῆς | ἐμῆς | ψυχῆς,ἐμᾶς | ἐμᾶς | ψυχᾶς,,no,
24,τὸ γὰρ θάτερον προτέρημα ἑκάστῳ τῶν ὁμοίαν ἐσχηκότων τάξιν τοῦ βίου ἐλάττωμα πάντως δοκεῖ,τὸ γὰρ θατέρου προτέρημα ἑκάστῳ τῶν ὁμοίαν ἐσχηκότων τάξιν τοῦ βίου ἐλάττωμα πάντως δοκεῖ,change,,Morphological,,θάτερον,θατέρου,,no,
25,εἰ δὲ ὁ μὲν προδραμὼν καὶ τοὺς στεφάνους ἀναδησάμενος ἄρτι προβάλλει τὴν ἄνθην καὶ ἔτι χλοάζει τὴν κόμην οὐδὲ μία τε ὑπαργυρίζει αὐτῷ τῶν τριχῶν ἀλλὰ πᾶσαι ξανθαὶ ἢ μελάντεραι οἱ δὲ κατόπιν ἐληλυθότες ἢ μηδὲ τοῦτο ἔτεσι καταγεγηράκασιν ἵνα μηδὲν πλέον ἐρῶ πῶς ἂν οὗτοι τὸν τοῦ στεφανωθέντος ἐπαινέσειαν δρόμον καὶ ὑψηλολογήσαιεν τὰ ἐκείνου πλεονεκτήματα ὥσπερ καθ' ἑαυτῶν εἰληφότες τὴν γλῶσσαν παρὰ θεοῦ,εἰ δὲ ὁ μὲν προδραμὼν καὶ τοὺς στεφάνους ἀναδησάμενος ἄρτι προβάλλει τὴν ἄνθην καὶ ἔτι χλοάζει τὴν κόμην οὐδὲ μία τις ὑπαργυρίζει αὐτῷ τῶν τριχῶν ἀλλὰ πᾶσαι ξανθαὶ ἢ μελάντεραι οἱ δὲ κατόπιν ἐληλυθότες ἢ μηδὲ τοῦτο ἔτεσι καταγεγηράκασιν ἵνα μηδὲν πλέον ἐρῶ πῶς ἂν οὗτοι τὸν τοῦ στεφανωθέντος ἐπαινέσειαν δρόμον καὶ ὑψηλολογήσαιεν τὰ ἐκείνου πλεονεκτήματα ὥσπερ καθ' ἑαυτῶν εἰληφότες τὴν γλῶσσαν παρὰ θεοῦ,change,,Morphological,,τε,τις,,no,
26,Βούλομαι μὲν οὖν ἄλλα σοι ἐπ' ἄλλοις κατὰ τῶν πολεμίων ἐγείρεσθαι κύματα καὶ οὕτως οἰκοδομεῖσθαι ὑπὲρ ἡμῶν φρούρια καὶ τὰ προλαβόντα μηχανήματα τοῖς ὑστέροις νικᾶσθαι δέδοικα δὲ τὸ σφοδρὸν καὶ συντεταμένον.,Βούλομαι μὲν οὖν ἄλλα σοι ἐπ' ἄλλοις παρὰ τῶν πολεμίων ἐγείρεσθαι κύματα καὶ οὕτως οἰκοδομεῖσθαι ὑπὲρ ἡμῶν φρούρια καὶ τὰ προλαβόντα μηχανήματα τοῖς ὑστέροις νικᾶσθαι δέδοικα δὲ τὸ σφοδρὸν καὶ συντεταμένον.,change,,Morphological,,κατὰ,παρὰ,,no,
27,Καὶ τό γε χαλεπώτερον ὅτι τῆς τοιαύτης συγχύσεως ὑπὲρ ἡμῶν τε ὁμοίως καὶ τῶν βαρβάρων κειμένης ἐκεῖνοι τὸ μέρος ὅλον διὰ τὴν ἡμετέραν πεποιήκασιν ἄγνοιαν.,Καὶ τό γε χαλεπώτερον ὅτι τῆς τοιαύτης συγχύσεως ὑπὲρ ἡμῶν τε ὁμοίως καὶ τῶν βαρβάρων κειμένης ἐκεῖνοι τὸ μέρος ὅλον διὰ τὴν ἡμετέραν πεποιήκασιν ἄνοιαν.,change,,Morphological,,ἄγνοιαν.,ἄνοιαν.,,no,
28,Καὶ κατώρθωκας πλείω τῶν ὑπειλημμένων ὧν ἕκαστος ἀντὶ πάντων ἀρκεῖ τό τε γὰρ δεδιέναι τὸν βάρβαρον καὶ μὴ τολμᾶν προσεγγίσαι εἰς μέγιστον ἔπαινον ἀποχρῶν.,Καὶ κατώρθωκας πλείω τῶν ὑπειλημμένων ὧν ἕκαστον ἀντὶ πάντων ἀρκεῖ τό τε γὰρ δεδιέναι τὸν βάρβαρον καὶ μὴ τολμᾶν προσεγγίσαι εἰς μέγιστον ἔπαινον ἀποχρῶν.,change,,Morphological,,ἕκαστος,ἕκαστον,,no,
29,ἔστω γοῦν σοι τὸ τοιοῦτον τῆς ἐμῆς ψυχῆς ἐνθύμημα τεκμήριον ἀληθέστατον τῆς πρὸς σὲ τοῦ ἐμοῦ κράτους ἀκριβεστάτης φιλίας καὶ ἀδιάπτωτον ἑνώσεως τε καὶ διαθέσεως,ἔστω γοῦν σοι τὸ τοιοῦτον τῆς ἐμῆς ψυχῆς ἐνθύμημα τεκμήριον ἀληθέστατον τῆς πρὸς σὲ τοῦ ἐμοῦ κράτους ἀκριβεστάτης φιλίας καὶ ἀδιαπτώτου ἑνώσεως τε καὶ διαθέσεως,change,,Morphological,,ἀδιάπτωτον,ἀδιαπτώτου,,no,
30,Καὶ ὥσπερ χαλιναγωγούμενον τῷ λόγῳ τὸ ἄλογον τιθασσεύε- ται οὕτω δὴ καὶ τῇ σῇ φύσει γενναίᾳ τυγχανούσῃ δεῖ τοῦ λογικοῦ χαλινοῦ οὐχ ὅτι μὴ καὶ λόγον ἔχεις τὸν ἐν τῇ φύσει ἔχεις γὰρ τοῦτον ὡς ἀληθῶς ὡς πολλῶν γε καλλίονα ἀλλὰ καὶ ὁ διὰ τῶν ὤτων εἰσρέων τῇ ψυχῇ λόγος συνεργὸς τῷ τῆς φύσεως γίνεται καὶ μάλα γε λυσιτελεῖ τῇ ψυχῇ εἰς κατανόησιν τοῦ βελτίονος.,Καὶ ὥσπερ χαλιναγωγούμενον τῷ λόγῳ τὸ ἄλογον τιθασσεύε- ται οὕτω δὴ καὶ τῇ σῇ φύσει γενναίᾳ τυγχανούσῃ δεῖ τοῦ λογικοῦ χαλινοῦ οὐχ ὅτι μὴ καὶ λόγον ἔχεις τὸν ἐν τῇ φύσει ἔχεις γὰρ τοῦτον ὡς ἀληθῶς πολλῶν γε καλλίονα ἀλλὰ καὶ ὁ διὰ τῶν ὤτων εἰσρέων τῇ ψυχῇ λόγος συνεργὸς τῷ τῆς φύσεως γίνεται καὶ μάλα γε λυσιτελεῖ τῇ ψυχῇ εἰς κατανόησιν τοῦ βελτίονος.,delete,,Addition / Omission,,ὡς,,,no,
31,Ὥσπερ γοῦν ἡ καθ' ἡμᾶς διάνοια λογικωτάτη τις οὖσα ὡς ἄλογον ἄγει τὴν θυμικὴν γενναιότητα καὶ τὴν τῆς ἐπιθυμίας ἰσχὺν ἃς ἐπιβέβηκεν οὕτω δὴ δεύτερόν ἐστι ἄλογον τὸ παρ' ἡμῖν καὶ ἐκτὸς ἄλογον τῆς ὅλης ἡμῶν συγκράτου φύσεως.,Ὥσπερ γοῦν ἡ καθ' ἡμᾶς διάνοια λογικωτάτη τις οὖσα ὡς ἄλογον ἄγει τὴν θυμικὴν γενναιότητα καὶ τὴν τῆς ἐπιθυμίας ἰσχὺν αἷς ἐπιβέβηκεν οὕτω δὴ δεύτερόν ἐστι ἄλογον τὸ παρ' ἡμῖν καὶ ἐκτὸς ἄλογον τῆς ὅλης ἡμῶν συγκράτου φύσεως.,change,,Morphological,,ἃς,αἷς,,no,
32,Τὸ δέ γε ἰδιαίτερον ὀνομαζόμενον ἄλογον ὥσπερ ἐπαναδιπλοῦται τὴν τοῦ κοινοῦ προσηγορίαν ἀλλ' ἄλογόν ἐστιν ἡμῖν ὡς ὑποπίπτον ταῖς ἡμετέραις χερσὶ καὶ παρ' ἡμῶν ἀγόμενόν τε καὶ εὐθηνούμενον.,Τὸ δέ γε ἰδιαίτερον ὀνομαζόμενον ἄλογον ὥσπερ ἐπαναδιπλοῦται τὴν τοῦ κοινοῦ προσηγορίαν ἀλλ' ἄλογόν ἐστιν ἡμῖν ὡς ὑποπίπτον ταῖς ἡμετέραις χερσὶ καὶ παρ' ἡμῶν ἀγόμενόν τε καὶ εὐθυνόμενον.,change,,Morphological,,εὐθηνούμενον.,εὐθυνόμενον.,,no,
33,Ἐβουλόμην ἀδελφὲ φίλτατε μὴ ἐκ Κολωνείας ὡρμῆσθαί σε ἵνα δὴ ἐλευθέρᾳ τῇ γλώττῃ τῷ γένει διελοιδορησάμην.,Ἐβουλόμην ἀδελφὲ φίλτατε μὴ ἐκ Κολωνείας ὡρμῆσθαί σε ἵνα δὴ ἐλευθέρᾳ τῇ γλώττῃ τῷ γένει διαλοιδορησαίμην.,change,,Morphological,,διελοιδορησάμην.,διαλοιδορησαίμην.,,no,
34,Ἐγὼ μὲν οὐδὲν ἐμαυτῷ τοιοῦτον οἷον κατασεσυκοφάντημαι ἦ συνεπίσταμαι καὶ ὅρκον οὐκ ἂν προσθείην ἵνα μὴ καὶ πάλιν ἡμῖν τὸν λόγον οἱ ἰχνηλάται θηράσωσιν.,Ἐγὼ μὲν οὐδὲν ἐμαυτῷ τοιοῦτον οἷον κατασεσυκοφάντημαι συνεπίσταμαι καὶ ὅρκον οὐκ ἂν προσθείην ἵνα μὴ καὶ πάλιν ἡμῖν τὸν λόγον οἱ ἰχνηλάται θηράσωσιν.,delete,,Addition / Omission,,ἦ,,,no,
35,ὥσπερ γὰρ ἐκ τῶν ἀστρῴων σχηματισμῶν σοὶ μὲν εὐθὺς πάντα βασίλεια ἐμοὶ δὲ αὐχμηρὰ καὶ φιλόσοφα καὶ τὰ μὲν σὰ καινοφανῆ καὶ παράδοξα τὰ δὲ ἐμὰ συνήθη τε καὶ βιώσιμα.,ὥσπερ γὰρ ἐκ τῶν ἀστρῴων σχηματισμῶν σοὶ μὲν εὐθὺς πάντα βασίλεια ἐμοὶ δὲ αὐχμηρὰ καὶ φιλόσοφα καὶ τὰ μὲν σὰ καινοφανῆ καὶ παράδοξα τὰ δὲ ἐμὰ συνήθη τε καὶ βιωτικά.,change,,Phonological-Orthographic,,βιώσιμα.,βιωτικά.,,no,
